Source,Source Name,Target,Target Name,Weight,Type
10000012,Maurice Abbot,10006720,Benjamin Jonson,27,Undirected
10000012,Maurice Abbot,10007175,William Laud,11,Undirected
10000012,Maurice Abbot,10007245,Nicholas Leate,27,Undirected
10000012,Maurice Abbot,10007424,John Lilburne,26,Undirected
10000012,Maurice Abbot,10008581,George Mountain,43,Undirected
10000012,Maurice Abbot,10009179,Thomas Overbury,46,Undirected
10000012,Maurice Abbot,10009241,William Page,47,Undirected
10000012,Maurice Abbot,10009981,William Prynne,41,Undirected
10000012,Maurice Abbot,10010012,Samuel Purchas,42,Undirected
10000012,Maurice Abbot,10010796,John Scott,38,Undirected
10000012,Maurice Abbot,10010918,Edward Seymour,46,Undirected
10000012,Maurice Abbot,10010919,Edward Seymour,62,Undirected
10000012,Maurice Abbot,10011484,Richard Staper,51,Undirected
10000012,Maurice Abbot,10011612,John Story,34,Undirected
10000012,Maurice Abbot,10011613,John Story,16,Undirected
10000012,Maurice Abbot,10011670,Charles Stuart,23,Undirected
10000012,Maurice Abbot,10011681,James Stuart,85,Undirected
10000012,Maurice Abbot,10011754,Josuah Sylvester,38,Undirected
10000012,Maurice Abbot,10012051,John Tradescant,20,Undirected
10000012,Maurice Abbot,10012052,John Tradescant,20,Undirected
10000012,Maurice Abbot,10012117,Elizabeth Tudor,70,Undirected
10000012,Maurice Abbot,10012307,Francis Vere,45,Undirected
10000012,Maurice Abbot,10012827,John Whitgift,40,Undirected
10000012,Maurice Abbot,10013132,Henry Wotton,48,Undirected
10000012,Maurice Abbot,10013279,Frederick ,46,Undirected
10000013,Robert Abbot,10000208,Lancelot Andrewes,43,Undirected
10000013,Robert Abbot,10000458,Gervase Babington,41,Undirected
10000013,Robert Abbot,10000596,Richard Bancroft,34,Undirected
10000013,Robert Abbot,10000772,John Bastwick,26,Undirected
10000013,Robert Abbot,10000802,Richard Baxter,13,Undirected
10000013,Robert Abbot,10000950,Sebastian Benefield,31,Undirected
10000013,Robert Abbot,10001099,William Bishop,84,Undirected
10000013,Robert Abbot,10001341,Edward Boughen,11,Undirected
10000013,Robert Abbot,10001508,Nathanael Brent,35,Undirected
10000013,Robert Abbot,10001544,John Bridgeman,12,Undirected
10000013,Robert Abbot,10001827,Henry Burton,32,Undirected
10000013,Robert Abbot,10002176,Isaac Casaubon,38,Undirected
10000013,Robert Abbot,10002178,John Case,12,Undirected
10000013,Robert Abbot,10002279,John Chamberlain,57,Undirected
10000013,Robert Abbot,10002384,Francis Cheynell,23,Undirected
10000013,Robert Abbot,10002516,Richard Clayton,12,Undirected
10000013,Robert Abbot,10002562,Gervase Clifton,14,Undirected
10000013,Robert Abbot,10002628,John Coke,20,Undirected
10000013,Robert Abbot,10002756,Edward Conway,11,Undirected
10000013,Robert Abbot,10002863,John Cosin,31,Undirected
10000013,Robert Abbot,10002889,Henry Cotton,37,Undirected
10000013,Robert Abbot,10002963,Richard Crakanthorpe,28,Undirected
10000013,Robert Abbot,10003305,John Davenport,28,Undirected
10000013,Robert Abbot,10003570,Marco Antonio de Dominis,56,Undirected
10000013,Robert Abbot,10003959,Edward Elton,16,Undirected
10000013,Robert Abbot,10004019,Ralph Eure,21,Undirected
10000013,Robert Abbot,10004158,Daniel Featley,93,Undirected
10000013,Robert Abbot,10004243,Richard Field,12,Undirected
10000013,Robert Abbot,10004244,Richard Field,52,Undirected
10000013,Robert Abbot,10004245,Richard Field,25,Undirected
10000013,Robert Abbot,10004400,Richard Fletcher,19,Undirected
10000013,Robert Abbot,10004500,Martin Fotherby,11,Undirected
10000013,Robert Abbot,10004563,Edmund Freake,42,Undirected
10000013,Robert Abbot,10004692,Henry Garnett,52,Undirected
10000013,Robert Abbot,10005342,John Hacket,27,Undirected
10000013,Robert Abbot,10005397,Joseph Hall,19,Undirected
10000013,Robert Abbot,10005716,James Hay,31,Undirected
10000013,Robert Abbot,10005897,Peter Heylyn,65,Undirected
10000013,Robert Abbot,10006238,Anne Howard,11,Undirected
10000013,Robert Abbot,10006310,John Howson,37,Undirected
10000013,Robert Abbot,10007095,John Lambe,13,Undirected
10000013,Robert Abbot,10007153,Anthony Lapthorne,13,Undirected
10000013,Robert Abbot,10007175,William Laud,65,Undirected
10000013,Robert Abbot,10007513,George Lloyd,20,Undirected
10000013,Robert Abbot,10008329,Richard Mocket,11,Undirected
10000013,Robert Abbot,10008546,Thomas Morton,57,Undirected
10000013,Robert Abbot,10008580,Richard Mountague,45,Undirected
10000013,Robert Abbot,10008581,George Mountain,32,Undirected
10000013,Robert Abbot,10008729,Richard Neile,56,Undirected
10000013,Robert Abbot,10009336,John Parkhurst,33,Undirected
10000013,Robert Abbot,10009921,John Preston,13,Undirected
10000013,Robert Abbot,10009981,William Prynne,23,Undirected
10000013,Robert Abbot,10010259,Robert Rich,16,Undirected
10000013,Robert Abbot,10010301,Thomas Ridley,35,Undirected
10000013,Robert Abbot,10011226,Miles Smith,43,Undirected
10000013,Robert Abbot,10011459,John Stanhope,37,Undirected
10000013,Robert Abbot,10011612,John Story,13,Undirected
10000013,Robert Abbot,10011681,James Stuart,61,Undirected
10000013,Robert Abbot,10011712,Matthew Sutcliffe,31,Undirected
10000013,Robert Abbot,10012117,Elizabeth Tudor,15,Undirected
10000013,Robert Abbot,10012784,Francis White,13,Undirected
10000013,Robert Abbot,10012785,Francis White,15,Undirected
10000013,Robert Abbot,10012786,Francis White,12,Undirected
10000013,Robert Abbot,10012819,James Whitelocke,32,Undirected
10000013,Robert Abbot,10012827,John Whitgift,68,Undirected
10000013,Robert Abbot,10012862,Edward Wightman,13,Undirected
10000013,Robert Abbot,10012917,John Williams,24,Undirected
10000013,Robert Abbot,10013129,Anthony Wotton,25,Undirected
10000013,Robert Abbot,10013202,John Wynn,18,Undirected
10000013,Robert Abbot,10013232,Henry Yelverton,33,Undirected
10000014,Robert Abbot,10000142,William Allen,52,Undirected
10000014,Robert Abbot,10000208,Lancelot Andrewes,16,Undirected
10000014,Robert Abbot,10000535,Henry Baker,53,Undirected
10000014,Robert Abbot,10000772,John Bastwick,18,Undirected
10000014,Robert Abbot,10000802,Richard Baxter,11,Undirected
10000014,Robert Abbot,10000950,Sebastian Benefield,14,Undirected
10000014,Robert Abbot,10001067,Thomas Bilson,15,Undirected
10000014,Robert Abbot,10001827,Henry Burton,22,Undirected
10000014,Robert Abbot,10002178,John Case,15,Undirected
10000014,Robert Abbot,10002279,John Chamberlain,18,Undirected
10000014,Robert Abbot,10002384,Francis Cheynell,26,Undirected
10000014,Robert Abbot,10002562,Gervase Clifton,12,Undirected
10000014,Robert Abbot,10002826,Edward Corbet,14,Undirected
10000014,Robert Abbot,10002863,John Cosin,21,Undirected
10000014,Robert Abbot,10002963,Richard Crakanthorpe,17,Undirected
10000014,Robert Abbot,10003157,Walter Curll,52,Undirected
10000014,Robert Abbot,10003305,John Davenport,15,Undirected
10000014,Robert Abbot,10003453,Edward Dering,28,Undirected
10000014,Robert Abbot,10003454,Edward Dering,14,Undirected
10000014,Robert Abbot,10003570,Marco Antonio de Dominis,31,Undirected
10000014,Robert Abbot,10003670,Samuel Drake,59,Undirected
10000014,Robert Abbot,10004019,Ralph Eure,18,Undirected
10000014,Robert Abbot,10004158,Daniel Featley,24,Undirected
10000014,Robert Abbot,10004244,Richard Field,17,Undirected
10000014,Robert Abbot,10004292,Samuel Fisher,12,Undirected
10000014,Robert Abbot,10004972,John Goodwin,13,Undirected
10000014,Robert Abbot,10005342,John Hacket,28,Undirected
10000014,Robert Abbot,10005397,Joseph Hall,17,Undirected
10000014,Robert Abbot,10005716,James Hay,16,Undirected
10000014,Robert Abbot,10005897,Peter Heylyn,22,Undirected
10000014,Robert Abbot,10006310,John Howson,30,Undirected
10000014,Robert Abbot,10007095,John Lambe,11,Undirected
10000014,Robert Abbot,10007096,Thomas Lambe,28,Undirected
10000014,Robert Abbot,10007152,Benjamin Lany,26,Undirected
10000014,Robert Abbot,10007175,William Laud,73,Undirected
10000014,Robert Abbot,10008546,Thomas Morton,34,Undirected
10000014,Robert Abbot,10008580,Richard Mountague,25,Undirected
10000014,Robert Abbot,10008581,George Mountain,18,Undirected
10000014,Robert Abbot,10008729,Richard Neile,50,Undirected
10000014,Robert Abbot,10009241,William Page,51,Undirected
10000014,Robert Abbot,10009295,Gregorio Panzani,18,Undirected
10000014,Robert Abbot,10009336,John Parkhurst,16,Undirected
10000014,Robert Abbot,10009981,William Prynne,17,Undirected
10000014,Robert Abbot,10010029,John Pym,54,Undirected
10000014,Robert Abbot,10010301,Thomas Ridley,27,Undirected
10000014,Robert Abbot,10011226,Miles Smith,22,Undirected
10000014,Robert Abbot,10011681,James Stuart,50,Undirected
10000014,Robert Abbot,10011712,Matthew Sutcliffe,18,Undirected
10000014,Robert Abbot,10012117,Elizabeth Tudor,11,Undirected
10000014,Robert Abbot,10012726,Richard Weston,11,Undirected
10000014,Robert Abbot,10012784,Francis White,15,Undirected
10000014,Robert Abbot,10012785,Francis White,15,Undirected
10000014,Robert Abbot,10012786,Francis White,13,Undirected
10000014,Robert Abbot,10012819,James Whitelocke,34,Undirected
10000014,Robert Abbot,10012862,Edward Wightman,11,Undirected
10000014,Robert Abbot,10012917,John Williams,22,Undirected
10000014,Robert Abbot,10012918,John Williams,15,Undirected
10000014,Robert Abbot,10013232,Henry Yelverton,20,Undirected
10000015,George Abbott,10000634,Isaac Bargrave,25,Undirected
10000015,George Abbott,10001424,John Boys,27,Undirected
10000015,George Abbott,10001605,Henry Brooke,32,Undirected
10000015,George Abbott,10001827,Henry Burton,47,Undirected
10000015,George Abbott,10002210,Salomon de Caus,45,Undirected
10000015,George Abbott,10002373,Edward Chetwynd,52,Undirected
10000015,George Abbott,10003060,Richard Cromwell,23,Undirected
10000015,George Abbott,10006554,Henry Jaye,41,Undirected
10000015,George Abbott,10007388,Charles Lewis,65,Undirected
10000015,George Abbott,10008767,Thomas Neville,26,Undirected
10000015,George Abbott,10010014,William Purefoy,67,Undirected
10000015,George Abbott,10011670,Charles Stuart,68,Undirected
10000015,George Abbott,10011681,James Stuart,63,Undirected
10000015,George Abbott,10012372,Richard Vines,49,Undirected
